brand_name,product_name,price_usd,product_description,ingredients,approval_rating,review_count
Beauty of Joseon,Beauty of Joseon - Glow Replenishing Rice Milk,US$ 16.20,"This moisturizing toner infused with rice extract and rice-derived amino acids combats skin dryness for a plump and radiant finish. It’s formulated with a sebum-controlling powder that effectively absorbs excess oil and purifies pores. Comes in a light, refreshing formula that penetrates deeply into skin without leaving any greasy feeling. Suitable for all skin types including sensitive skin.","Water, Methylpropanediol, Propanediol, 1,2-Hexanediol, Glycerin, Glycereth-26, Polymethyl Methacrylate, Panthenol, Hydroxyethyl Urea, Aluminum Chlorohydrate, Butylene Glycol, Kaolin, Sodium Citrate, Microcrystalline Cellulose, Oryza Sativa (Rice) Extract, Ethylhexylglycerin, Dipotassium Glycyrrhizate, Citric Acid, Hydrogenated Lecithin, Coptis Japonica Root Extract, Ulmus Davidiana Root Extract, Amaranthus Caudatus Seed Extract, Ficus Carica (Fig) Fruit Extract, Centella Asiatica Extract, Dextrin, Theobroma Cacao (Cocoa) Seed Extract, Ceramide NP, Tocopherol, Sodium Hyaluronate, Rice Amino Acids",97%,"1,451"
SKIN 1004,SKIN 1004 - Madagascar Centella Probio-Cica Intensive Ampoule,US$ 12.00,"Nourishing ampoule contains a high concentration of fermented cica extract to deliver intense moisture to skin and strengthen the skin barrier. Panthenol, betaine and allantoin in the formula provide plumping touches for smooth and hydrated skin. Suitable for sensitive skin.","Centella Asiatica Extract, Butylene Glycol, Glycerin, Water, Propanediol, Caprylic/Capric Triglyceride, Niacinamide, Lactobacillus/Centella Asiatica Extract Ferment Filtrate, 1,2-Hexanediol, Dipropylene Glycol, Polyglyceryl-3 Distearate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, C14-22 Alcohols, Arginine, Hydrogenated Lecithin, Betaine, Allantoin, Panthenol, Hydroxystearic Acid, Ethylhexylglycerin, Hydroxyethy Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Glyceryl Stearate Citrate, Sodium Polyacrylate, Adenosine, C12-20 Alkyl Glucoside, Cetearyl Alcohol, Xanthan Gum, Macadamia Ternifolia Seed Oil, Sodium Phytate, Sodium Hyaluronate, Stearic Acid, Ceramide NP, Glyceryl Acrylate/Acrylic Acid Copolymer, Sorbitan lsostearate, Polyglycery-10 Myristate, Madecassic Acid, Asiaticoside, Phytosphingosine, Aslatic Acid, Sucrose Distearate, Polyglutamnic Acid, Glucose, Lauric Acid, Phytosterols",98.10%,"1,208"
numbuzin,numbuzin - No.5 Vitamin-Niacinamide Concentrated Pad,US$ 20.80,"Restore luster in tired skin with these toner pads infused with potent brightening agents including niacinamide, glutathione and antioxidant-rich Vitamin C to even skin tone and fade dark spots. Panthenol and mushroom extract provide moisturizing and elasticity care. Additional ingredients like PHA and LHA exfoliate away dead skin cells.","Water, Niacinamide (50,000 ppm), Dipropylene Glycol, Glycerin, Propanediol, Butylene Glycol, Hydroxyethyl Urea, Diethoxy Ethyl Succinate, Hydroxyacetophenone, Caprylyl Glycol, Polyglyceryl-10 Laurate, Betaine, Panthenol (750.1 ppm), Ethylhexylglycerin, Gluconolactone, Sodium Polyacrylate, Ammonium Acryloyldimethyltaurate/VP Copolymer, Sodium Citrate, Citric Acid, Maltodextrin, 1,2 Hexanediol, Gardenia Florida Fruit Extract, Dipotassium Glycyrrhizate, Sodium Hyaluronate, Ascorbic Acid, Pantolactone, Tocopherol, Capryloyl Salicylic Acid, Tranexamic Acid, Tremella Fuciformis (Mushroom) Extract, Caprylic/Capric Triglyceride, Ascorbyl Glucoside, Ubiquinone, Hydrogenated Lecithin, Magnesium Chloride, Alcohol, Glutathione (0.3 ppm), Polysorbate 80, Calcium Gluconate, Pyridoxine HCL, BHT, Yeast Extract, Cyanocobalamin, Disodium EDTA",96.20%,"2,338"
celimax,celimax - JIWOOGAE Heartleaf BHA Peeling Pad,US$ 15.75,"These textured pealing pads are formulated with BHA to slough away dead skin cells and reveal bright and smooth skin. Saturated with a potent blend of hyaluronic acid and houttuynia cordata extract, they soothe and hydrate skin. Swipe the embossed side on face to remove impurities and moisturize skin, and then swipe the gauze side on the T-zone to exfoliate away blackheads and dead skin cells.","Water, Dipropylene Glycol, Glycerin, Butylene Glycol, 1,2-Hexanediol, Houttuynia Cordata Extract, Betaine, Chamaecyparis Obtusa Water, Betaine Salicylate,Madecassoside, Asiaticoside, Madecassic Acid, Asiatic Acid, Polyglyceryl-10 Laurate, Arginine, Polyglyceryl-10 Myristate, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Disodium EDTA, Sodium Hyaluronate, Ethylhexylglycerin, Chlorphenesin, Limonene",97.50%,"1,044"
Beauty of Joseon,Beauty of Joseon - Glow Deep Serum,US$ 15.30,"Restore a natural glow to tired-looking skin with this brightening serum containing 68.6% rice bran water to clarify skin and 2% arbutin to fade hyperpigmentation. Lightweight and quick-absorbent texture penetrates deep into skin to provide long-lasting skin brightening and hydrating effects. Formulated without mineral oils, essential oils, parabens, sulfates and PEG, this product is suitable for sensitive skin.","Oryza Sativa (Rice) Bran Water(68.6 %), Water, Glycerin,Butylene Glycol, 1,2-hexanediol, Dipropylene Glycol, Alpha-arbutin(2 %), Niacinamide, Methyl Gluceth-20, Panthenol, Polyglycerin-3, Trehalose, Glyceryl Glucoside, Hydrolyzed Jojoba Esters, Hydroxyethyl Acrylate/SodiumAcryloyldimethyl Taurate Copolymer, Ethylhexylglycerin, Hydroxyethylcellulose, Xanthan Gum, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Arginine, Disodium EDTA, Coptis Japonica Root Extract, Sorbitan Isostearate, Glucose, Coix Lacryma-jobi Ma-yuen Seed Extract, Glycine Soja (Soybean) Seed Extract, Hordeum Distichon (Barley) Extract, Oryza Sativa (Rice) Extract, Sesamum Indicum (Sesame) Seed Extract, Triticum Vulgare (Wheat) Seed Extract, Vigna Radiata Seed Extract, Zea Mays (Corn) Kernel Extract",97%,"3,796"
Beauty of Joseon,Beauty of Joseon - Centella Asiatica Calming Mask,US$ 2.25,"Calming and soothing, this sheet mask is infused with 15% cica extract as well as three types of hyaluronic acids to treat irritated and sensitive skin. Suitable for all skin types. Leave on for 15-20 mins on cleansed and toned skin, then remove and gently pat in any excess.","Water, Centella Asiatica Extract, Glycereth-26, Butylene Glycol, Niacinamide, 1,2-Hexanediol, Hydroxyacetophenone, Arginine, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Hydroxyethylcellulose, Carrageenan, Polyglyceryl-4 Caprate, Polyglyceryl-6 Caprylate, Adenosine, Ethylhexylglycerin, Disodium EDTA, Helianthus Annuus (Sunflower) Seed Oil, Panthenol, Artemisia Princeps Leaf Extract, Lycium Chinense Fruit Extract, Propandiol, Portulaca Oleracea Extract, Panax Ginseng Root Extract, Camellia Sinensis Leaf Extract, Anthemis Nobilis Flower Oil, Sodium Hyaluronate, Hydrolyzed Hyaluronic Acid, Hyaluronic Acid",97%,"1,556"
SKIN 1004,SKIN 1004 - Madagascar Centella Ampoule Kit,US$ 23.90,Pamper your skin with this Madagascar Centella Ampoule Kit containing four mini-sized ampoules targeting different skin concerns. The Centella Ampoule soothes and repairs damaged skin. The Tone Brightening Capsule Ampoule evens skin tone for a radiant finish. The Poremizing Fresh Ampoule minimizes enlarged pore. The Tea-Trica Relief Ampoule calms irritation and treats acne. Take a few drops of the ampoule and gently apply on face.,"[Centella Ampoule] Centella Asiatica (Gotu Kola) Extract 100% [Tone Brightening Capsule Ampoule] Water, Butylene Glycol, Niacinamide, Glycerin, Tranexamic Acid, 1,2-Hexanediol, Betaine, Centella Asiatica Extract, Zea Mays (Corn) Starch, Xanthan Gum, Microcrystalline Cellulose, Mannitol, Panthenol, Pentylene Glycol, Ethylhexylglycerin, Hydroxyethylcellulose, Madecassoside, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Arginine, Hydrogenated Lecithin, Xylitylglucoside, Anhydroxylitol, Xylitol, Glucose, 3-O-Ethyl Ascorbic Acid, Lactobacillus Ferment [Poremizing Fresh Ampoule] Centella Asiatica (Gotu Kola) Extract(50.47%), Water, Butylene Glycol, Propanediol, 1,2-Hexanediol, Aloe Barbadensis Leaf Extract, Glycereth-26. Hydroxyacetophenone, Glycerin, Carbomer, Tromethamine, Panthenol , Ethylhexylglycerin, Disodium EDTA, Dipotassium Glycyrrhizate, Ammonium Polyacryloyldimethyl Taurate, Biosaccharide Gum-1, Hyaluronic Acid, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate, Hydroxyethylcellulose, Chamomilla Recutita (Matricaria) Flower Extract, Mineral Salt, Tripeptide-3, Acetyl Hexapeptide-8, Acetyl Octapeptide-3, Copper Tripeptide-1, Palmitoyl Pentapeptide-4, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-1, Tripeptide-1, Tripeptide-2 [Tea-Trica Relief Ampoule] Centella Asiatica Extract(55%), Chamaecyparis Obtusa Water, Melaleuca Alternifolia (Tea Tree) Leaf Water(9.4%), Pinus Palustris Leaf Extract, Glycerine, Butylene Glycol, Methyl Gluceth-20, Dipropylene Glycol, Glycereth-26, 1,2-Hexanediol, Water, Hydroxyacetophenone, Ammonium Acryloyldimethyltaurate/VP Copolymer, Propanediol, Polyglyceryl-10 Laurate, Ethylhexylglycerin, Pentylene Glycol, Caprylyl Glycol, Disodium EDTA Melaleuca Alternifolia Leaf Oil (200PPM), Oenothera Biennis (Evening Primrose) Flower Extract, Pueraria Lobata Root Extrac, Ulmus Davidiana Root Extract",98.10%,"1,287"
Anua,Anua - Rice Enzyme Brightening Cleansing Powder,US$ 13.69,"Purify pores, brighten skin and amp up hydration levels with this multi-purpose rice bran-infused cleansing powder. The formula contains ceramide to strengthen the skin barrier and papain to slough away dead skin cells and impurities. For optimal benefits, mix an appropriate amount with water and massage the mixture onto skin before rinsing off with water. Alternatively, use as a wash-off mask for an instant glow-up.","Zea Mays (Corn) Starch , Sodium Cocoyl Isethionate , Sodium Lauroyl Glutamate , Diglycerin, Allantoin, Maltodextrin, Papain, Kaolin (Ci 77004) , Zea Mays (Corn) Starch, Sodium Cocoyl Isethionate, Sodium Lauroyl Glutamate, Diglycerin, Allantoin, Maltodextrin, Papain, Sodium Bicarbonate, Citric Acid, Sodium Polyacrylate, Water, Oryza Sativa (Rice) Powder, Oryza Sativa (Rice) Lees Extract , Oryza Sativa (Rice) Bran Water , 1,2-Hexanediol, Oryza Sativa (Rice) Extract, Water, Butylene Glycol, 1,2-Hexanediol , Dipropylene Glycol, Oryza Sativa (Rice) Extract, Hydrolyzed Rice Protein, Oryza Sativa (Rice) Seed Protein, Ceramide NP, Ceramide NP, Ascorbic Acid, Alpha-Arbutin, Protease, Butylene Glycol, 1,2-Hexanediol, Caprylyl Glycol , Glucose, Papain , Glycerin, Water, Citric Acid, Tartaric Acid, Lactic Acid",,447
Beauty of Joseon,Beauty of Joseon - Ginseng Essence Water,US$ 16.20,"Infused with 80% ginseng root water as well as a uniquely formulated ginseng complex to revitalize dry skin and control sebum, this hydrating toner leaves skin plumped-up and wrinkle-free. Safe for use on sensitive skin.","Panax Ginseng Root Water, Butylene Glycol, Glycerin, Propanediol, Niacinamide, 1,2-Hexanediol, Water, Hydroxyacetophenone, Glyceryl Glucoside, Xanthna Gum, Panthenol, Dipotassium Glycyrrhizate, Allantoin, Adenosine, Panax Ginseng Callus Culture Extract, Theobroma Cacao(Cocoa) Extract, Dextrin, Glucose, Panax Ginseng Root Extract, Panax Ginseng Berry Extract, Lactobacillus/Panax Ginseng Root Ferment Filtrate, Sodium Hyaluronate, Ethylhexyglycerin, Disodium EDTA",97%,"4,691"
LANEIGE,LANEIGE - Lip Sleeping Mask - 4 Types,US$ 14.62,"Your lips also deserve overnight pampering! Laneige's Lip Sleeping Mask dissolves dead skin cells while you slumber, making lips look smoother and plumper. Berry Mix Complex with Vitamin C and antioxidant-packed berry ingredients make lips firmer, while hyaluronic acid helps in moisture absorption overnight. Sour and sweet fruit flavors make it a true nighttime treat for your lips.","Diisostearyl Malate, Hydrogenated Polyisobutene, Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate, Hydrogenated Poly(C6-14 Olefin), Polybutene, Microcrystalline Wax, Butyrospermum Parkii (Shea) Butter, Synthetic Wax, Ethylene/Propylene/Styrene Copolymer, Sucrose Tetrastearate Triacetate, Mica, Euphorbia Cerifera (Candelilla) Wax, Candelilla Wax Esters, Astrocaryum Murumuru Seed Butter, Fragrance, Glyceryl Caprylate, Titanium Dioxide (CI 77891), Butylene/Ethylene/Styrene Copolymer, Polyglyceryl-2 Diisostearate, Copernicia Cerifera (Carnauba) Wax, Methicone, Polyglyceryl-2 Triisostearate, Cocos Nucifera (Coconut) Oil, Limonene, Ascorbic Acid, Linalool, Glycerin, Propanediol, BHT, Punica Granatum Fruit Juice, Rubus Idaeus (Raspberry) Juice, Vitis Vinifera (Grape) Juice, Water, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Brilliant Blue FCF (CI 42090), Silica, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Purified Water, Lithol Rubine B, Quinoline Yellow WS (CI 47005), Quinoline Yellow WS, Sunset Yellow FCF, Theobroma Cacao (Cocoa) Seed Butter, Benzyl Benzoate, Citral, Brilliant Blue FCF",96.60%,"10,067"
Abib,Abib - Collagen Gel Mask - 3 Types,US$ 4.00,"Packed with 10,005ppm of vegan collagen extract derived from fermented yeast, this hydrogel mask easily restores glow and elasticity in tired, lackluster or aging skin. The Jericho Rose Jelly version features additional ingredients of Jericho rose jelly extract and ceramide to up moisture levels, strengthen the skin barrier and slow down cellular aging. The Sedum Jelly version comes with Jeju-sourced sedum jelly, hyaluronic acid and Vitamin C on top of collagen to brighten and plump up skin. Coming in a hydrogel construction, this face mask allows quick delivery of nutrients deep into skin.","Water, Glycerin, Methylpropanediol, Isopentyldiol, Niacinamide, Butylene Glycol, 1,2-Hexanediol, Propanediol, Chondrus Crispus Powder, Collagen Extract, Houttuynia Cordata Extract, Ceratonia Siliqua (Carob) Gum, Macadamia Integrifolia Seed Oil, Melia Azadirachta Leaf Extract, Melia Azadirachta Flower Extract, Sodium Hyaluronate, Ocimum Sanctum Leaf Extract, Curcuma Longa (Turmeric) Root Extract, Corallina Officinalis Extract, Xylitol, Centella Asiatica Leaf Extract, Camellia Sinensis Leaf Extract, Calamine, Diospyros Kaki Leaf Extract, Vitis Vinifera (Grape) Fruit Extract, Carthamus Tinctorius (Safflower) Flower Extract, Coffea Arabica (Coffee) Seed Extract, Polygonum Cuspidatum Root Extract, Castanea Crenata (Chestnut) Shell Extract, Zanthoxylum Piperitum Fruit Extract, Mentha Rotundifolia Leaf Extract, Thymus Vulgaris (Thyme) Leaf Extract, Glycereth-26, Hydroxyethyl Urea, Kaolin (CI 77004), Hydroxyacetophenone, Polyglyceryl-3 Methylglucose Distearate, Allantoin, Glyceryl Stearate, Glucomannan, Panthenol, Cellulose Gum, Caprylyl Glycol, Potassium Chloride, Octyldodeceth-16, Adenosine, Sodium Phytate, Dextrin, Dipotassium Glycyrrhizate, Tocopherol, Ethylhexylglycerin, Palmitoyl Tripeptide-5, Xanthan Gum, Cetearyl Alcohol",97.60%,616
Kose,Kose - Softymo Cleansing Oil,US$ 10.00,"Cleansing oil removes makeup, including stubborn mascara, as well as dead skin cells and excess dirt, without leaving any oily residue. Gentle formula suitable for dry skin brightens and thoroughly cleanses, making double-cleansing unnecessary. Made with five types of oil including olive oil, jojoba oil, sesame oil, safflower oil and shea butter to keep skin moisturized.","sesame seed oil, glycerin, ascorbyl palmitate, safflower oil, squalane, baobab seed oil, isopropyl myristate, water, phenoxyethanol, grape seed oil, shea butter, Mineral oil, tocopherol, cetyl ethylhexanoate, olive fruit oil, corn germ oil, jojoba seed oil, cyclopentasiloxane, Water, PG dicaprate, Prunus Armeniaca (Apricot) Kernel Oil, Corn Germ Oil, dicapric acid PG, polyglyceryl diisostearate-2・Dicapric acid PG・Trilaureth-4 phosphate・Water・Phenoxyethanol, Cyclomethicone, Rose Hip Oil, Trilaureth-4 Phosphate, Olea Europaea (Olive) Fruit Oil, Jojoba seed oil, Sesamum Indicum (Sesame) Seed Oil, orange oil, Cetyl Ethylhexanoate, almond oil, rice bran oil, Helianthus Annuus (Sunflower) Seed Oil, Orange Oil, Sorbeth-30 Tetraoleate, propylene glycol dicaprate, Jojoba Seed Oil, COIX LACRYMA-JOBI MA-YUEN SEED OIL, Isopropyl Myristate, Safflower Oil, Ascorbyl Dipalmitate, Polyglyceryl-2 Diisostearate, bisethoxydiglycol cyclohexane-1, BHT, Glycerin, Oryza Sativa (Rice) Bran Oil, sorbeth-30 tetraoleate, PEG-8 glyceryl isostearate, trilaureth-4 phosphate, Phenoxyethanol, Propylene Glycol Dicaprate, orange peel oil, cyclomethicone, Butyrospermum Parkii (Shea) Butter, Mineral Oil, cyclohexane-1, sesame oil, Rice Bran Oil, 4-dicarboxylate, PEG-8 Glyceryl Isostearate, Tocopherol, 4-dicarboxylic acid bisethoxydiglycol",95.40%,"6,886"
I'm from,I'm from - Rice Toner Mini,US$ 5.60,"Packed with goami (rice) extracts, this toner leaves skin glowing with its whitening, anti-wrinkle as well as moisturizing benefits. Gently shake before use.","Oryza Sativa (Rice) Extract (77.78%), Methylpropanediol, Triethylhexanoin, Hydrogenated Poly(C6-14 Olefin), Niacinamide, Pentylene Glycol, Portulaca Oleracea Extract, Oryza Sativa (Rice) Bran Extract, Ulmus Davidiana Root Extract, Amaranthus Caudatus Seed Extract, Hydrogenated Lecithin, Water, Polyglyceryl-10 Myristate, Butylene Glycol, Adenosine, Cellulose Gum, Ethylhexylglycerin, 1,2-Hexanediol",96.80%,"4,262"
SOME BY MI,"SOME BY MI - AHA, BHA, PHA 30 Days Miracle Toner 150ml",US$ 15.80,"This toner works wonder on your skin in just 30 days! Suitable for sensitive and acne-prone skin, the toner is infused with AHA to slough off dead skin cells; BHA to remove excess sebum; PHA to prevent moisture loss; and tea tree to combat acne.","Water, Butylene Glycol, Dipropylene Glycol, Glycerin, Niacinamide, Melaleuca Alternifolia (Tea Tree) Leaf Extract (10000ppm), Polyglyceryl-4 Caprate, Carica Papaya (Papaya) Fruit Extract, Lens Esculenta (Lentil) Seed Extract, Hamamelis Virginiana (Witch Hazel) Extract, Nelumbo Nucifera (Sacred Lotus) Flower Extract, Swiftlet Nest Extract, Sodium Hyaluronate, Fructan, Allantoin, Adenosine, Hydroxyethyl Urea, Xylitol, Salicylic Acid (100ppm), Lactobionic Acid (100ppm), Citric Acid (500ppm), Sodium Citrate, 1,2-Hexanediol, Benzyl Glycol, Ethylhexylglycerin, Raspberry Ketone, Mentha Piperita (Peppermint) Oil",95.20%,"9,812"
numbuzin,numbuzin - No.9 NAD Bio Lifting-sil Essence,US$ 26.40,,"Water, Glycerin, Hydrogenated Poly(C6-14 Olefin), Polyglycerin-3, Butylene Glycol, Pentaerythrityl Tetraethylhexanoate, Propanediol, Dimethicone, 1,2-Hexanediol, Niacinamide, Methylpropanediol, Cetearyl Alcohol, Glyceryl Stearate, Hydrogenated Vegetable Oil, Polyglyceryl-3 Methylglucose Distearate, Butyrospermum Parkii (Shea) Butter, Dimethicone Crosspolymer, Ammonium Acryloyldimethyltaurate/VP Copolymer, Sodium Polyacrylate, Hydrogenated Lecithin, Carbomer, Xanthan Gum, Pentylene Glycol, Tromethamine, Ethylhexylglycerin, Adenosine, Palmitic Acid, Stearic Acid, Sodium Phytate, Cholesterol, Sodium Hyaluronate, Adenosine Triphosphate, Hydroxypropyl Cyclodextrin, Nicotinamide Adenine Dinucleotide, Beta-Glucan, Tocopherol, Palmitoyl Tripeptide-5, Copper Gluconate, Saccharomyces/Copper Ferment, Saccharomyces/Iron Ferment, Saccharomyces/Magnesium Ferment, Saccharomyces/Silicon Ferment, Saccharomyces/Zinc Ferment, Capryloyl Dipeptide-17, Thioctic Acid, Leuconostoc/Radish Root Ferment Filtrate, Glutathione, Tremella Fuciformis (Mushroom) Extract, Haematococcus Pluvialis Oil, Potassium Hydroxide, Resveratrol, Hesperidin Methyl Chalcone, Sorbitan Laurate, Steareth-20, Astaxanthin, Sodium Lactate, Hydroxyethylcellulose, Acetyl Dipeptide-1 Cetyl Ester, Dipeptide Diaminobutyroyl Benzylamide Diacetate, Heptasodium Hexacarboxymethyl Dipeptide-12, Panthenol, Polysorbate 20, Sodium Citrate, Chlorhexidine Digluconate, Dextran, Hexapeptide-2, Magnesium Chloride, Tetradecyl Aminobutyroylvalylaminobutyric Urea Trifluoroacetate, Acetyl Tetrapeptide-5, Dipeptide-2, Potassium Sorbate, Acetyl Hexapeptide-8, Palmitoyl Dipeptide-5 Diaminobutyroyl Hydroxythreonine, Citric Acid, Biotin, Palmitoyl Tetrapeptide-7, Biotinoyl Tripeptide-1, Acetyl Tetrapeptide-3, Trifolium Pratense (Clover) Flower Extract, Tocopheryl Acetate, Palmitoyl Tripeptide-8, Dipeptide-4, Hexapeptide-11, Pentapeptide-18, Tripeptide-3, Sh-Decapeptide-7, Sh-Octapeptide-4, Palmitoyl Tripeptide-1, Ascorbic Acid Polypeptide, Hexapeptide-9, Oligopeptide-3, Palmitoyl Hexapeptide-12, Tripeptide-1, Palmitoyl Pentapeptide-4, Ubiquinone, Copper Tripeptide-1, Caffeoyl Tripeptide-1, Caffeoyl Sh-Octapeptide-4, Galloyl Pentapeptide-33, Kojyl Carboxy Dipeptide-23, Nicotinoyl Tripeptide-1, Octapeptide-7, Oligopeptide-1, Sh-Decapeptide-9, Sh-Oligopeptide-9, Sh-Pentapeptide-19, Asparagine, Glutamine, Tryptophan, Oligopeptide-2, Sh-Oligopeptide-1, Sh-Oligopeptide-2, Sh-Polypeptide-1, Sh-Polypeptide-22, Sh-Polypeptide-3, Acetyl Octapeptide-3, Acetyl Tetrapeptide-2, Acetyl Tetrapeptide-9, Carnosine, Nonapeptide-1",96.20%,15
SOME BY MI,SOME BY MI - Retinol Intense Reactivating Serum,US$ 22.30,"This serum is infused with retinol, retinal and bakuchiol to boost skin elasticity and reduce signs of aging. It's created with patented elastic-liposome technology to deliver active ingredients deep into skin. The gentle formula gives a non-sticky, moisturizing finish without any irritation. Recommended for sensitive skin.","Water, Cyclohexasiloxane, Dicaprylyl Carbonate, Glycerin, Methylpropanediol, 1,2-Hexanediol, Niacinamide, Hydrogenated Poly(C6-14 Olefin), Panthenol, Tocopheryl Acetate, Piper Methysticum Leaf/Root/Stem Extract, Centella Asiatica Extract, Panax Ginseng Berry Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Ficus Carica (Fig) Fruit Extract, Centella Asiatica Leaf Extract, Centella Asiatica Root Extract, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Artemisia Capillaris Extract, Eclipta Prostrata Extract, Melia Azadirachta Leaf Extract, Elaeis Guineensis (Palm) Oil, Hydrogenated Lecithin, Glyceryl Stearate, Bakuchiol, Palmitic Acid, Sodium Polyacrylate, Stearic Acid, Xanthan Gum, Retinol (0.1 %), Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Butylene Glycol, Dipotassium Glycyrrhizate, Adenosine, Tromethamine, Polyquaternium-51, Beta-Glucan, Cetyl Alcohol, BHT, Collagen, Myristic Acid, BHA, Leuconostoc/Radish Root Ferment Filtrate, Tocopherol, Bifida Ferment Lysate, Ceramide NP, Saccharomyces Ferment, Retinal, Asiaticoside, Glyceryl Polymethacrylate, Madecassoside, Propylene Glycol, Polyglyceryl-10 Oleate, Glycolipids, Glycine Soja (Soybean) Peptide, Resveratrol, Sucrose Distearate, Asiatic Acid, Madecassic Acid, Palmitoyl Tripeptide-1, Moringa Oleifera Seed Oil, PEG-100 Stearate, Polysorbate 20, Fragrance, Ethylhexylglycerin",95.20%,"1,531"
Rohto Mentholatum,Rohto Mentholatum - Melano CC Vitamin C Essence,US$ 10.17,"Banish hyperpigmention and tone up skin with this lightweight essence chock-full of Vitamin C and Vitamin E derivatives. Quick-absorbent formula penetrates deep beneath the dermal layer to restore radiance to skin, while leaving no greasy residue.","● Active ingredients: ascorbic acid (active vitamin C), tocopherol acetate (vitamin E derivative), dipotassium glycyrrhizinate, isopropylmethylphenol ● Other ingredients: vitamin C tetraisopalmitate, ethoxydiglycol, Alpinia katsumadai seed extract (alpinia white), BG, edetate, viscosity modifier, fragrance",96.80%,"4,704"
Anua,Anua - Peach 70 Niacin Serum,US$ 20.00,Your skin will feel peachy after using this serum blended with 70% peach fruit extract and 5% niacinamide to even out skin tone. The serum promotes clear and smooth skin by clarifying pores with Peach Yogurt Complex (containing peach flower extract and betaine salicylate). It moisturizes and nourishes skin with Vitamin B12 and hyaluronic acids.,"Prunus Persica (Peach) Fruit Water (77%), Glycerin, Niacinamide (5%), Butylene Glycol, Diethoxyethyl Succinate, Water, 1,2-Hexanediol, Lactobacillus Ferment, Sodium Hyaluronate, Sphingomonas Ferment Extract, Alpha-Arbutin, Melia Azadirachta Flower Extract, Ocimum Sanctum Leaf Extract, Melia Azadirachta Leaf Extract, Carthamus Tinctorius (Safflower) Seed Oil, Salvia Hispanica Seed Oil, Curcuma Longa (Turmeric) Root Extract, Corallina Officinalis Extract, Hydrolyzed Hyaluronic Acid, Chamaecyparis Obtusa Leaf Extract, Prunus Persica (Peach) Flower Extract, Camellia Sinensis Seed Oil, Yeast Ferment Extract, Centella Asiatica Extract, Artemisia Princeps Leaf Extract, Candida Bombicola/Glucose/Methyl Rapeseedate Ferment, Pentylene Glycol, Polyglyceryl-10 Laurate, Betaine Salicylate, Sodium Phytate, Cellulose, Caprylic/Capric Triglyceride, Hydrogenated Lecithin, Panthenol, Polyglutamic Acid, Linoleic Acid, Linolenic Acid, Polyglyceryl-10 Oleate, Sucrose Palmitate, Cyanocobalamin, 3-O-Ethyl Ascorbic Acid, Ceramide NP, Asiaticoside, Madecassic Acid, Asiatic Acid, Xanthan Gum, Fragrance",95.70%,"2,743"
LINDSAY,LINDSAY - Modeling Mask Cup Pack - 8 Types,US$ 3.00,"Coming in a thick, nourishing formulation that dries to a rubbery finish, LINDSAY’s modeling masks adhere closely to skin to promote quick delivery of active ingredients while lifting away impurities. The mask comes in different types targeting specific skin care concerns, including Cool Tea Tree to soothe and hydrate, Pearl to brighten and Charcoal to unclog pores. To use, mix powder with 7 to 8 spoonfuls of cold water before evenly applying mask onto face using the included spatula. Leave on for 15 minutes before peeling it off.","Diatomaceous Earth, Glucose, Tapioca Starch, Dextrin, Calcium Sulfate, Algin, Tetrapotassium Pyrophosphate, Kaolin, Houttuynia Cordata Extract, Houttuynia Cordata Powder, Artemisia Princeps Extract, Artemisia Princeps Leaf Extract, Artemisia Capillaris Extract, Artemisia Princeps Leaf Powder, Camellia Sinensis Leaf, Camellia Sinensis Leaf Powder, Camellia Sinensis Leaf Extract, Solanum Melongena (Eggplant) Fruit Extract, Opuntia Coccinellifera Flower Extract, Pinus Densiflora Leaf Extract, Camellia Japonica Leaf Extract, Paeonia Lactiflora Extract, Chlorella Vulgaris Powder, Theobroma Cacao (Cocoa) Fruit Powder, Allantoin, Betaine, Portulaca Oleracea Extract, Centella Asiatica Extract, Aloe Arborescens Leaf Powder, Magnesium Carbonate, Cellulose Gum, Dehydroacetic Acid",96.60%,944
